index,distance(cm),time(60th of a second),avg_vel
0,0.3,1,
1,0.6,2,18.0
2,1.0,3,24.0
3,1.4,4,23.999999999999993
4,1.9,5,30.0
5,2.5,6,36.00000000000001
6,3.0,7,30.0
7,4.0,8,60.0
8,5.0,9,60.0
9,5.9,10,54.00000000000002
10,6.9,11,60.0
11,7.0,12,5.999999999999979
12,8.1,13,65.99999999999997
13,9.1,14,60.0
14,10.2,15,65.99999999999997
15,11.6,16,84.00000000000003
16,13.1,17,90.0
17,14.6,18,90.0
18,15.2,19,35.99999999999998
19,16.9,20,101.99999999999996
20,19.6,21,162.00000000000017
21,21.4,22,107.99999999999983
22,23.3,23,114.00000000000013
23,25.3,24,120.0
24,27.4,25,125.99999999999987
25,29.6,26,132.00000000000017
26,32.0,27,143.99999999999991
27,34.1,28,126.00000000000009
28,36.6,29,150.0
29,39.0,30,143.99999999999991
30,41.7,31,162.00000000000017
31,44.5,32,167.99999999999983
32,47.2,33,162.00000000000017
33,50.1,34,173.99999999999991
34,53.0,35,173.99999999999991
35,55.8,36,167.99999999999983
36,58.9,37,186.00000000000009
37,62.0,38,186.00000000000009
38,65.4,39,204.00000000000034
39,68.9,40,210.0
40,72.0,41,185.99999999999966
41,75.5,42,210.0
42,78.9,43,204.00000000000034
43,82.4,44,210.0
44,85.6,45,191.99999999999932
45,88.7,46,186.0000000000005
46,91.5,47,167.99999999999983
47,94.3,48,167.99999999999983
48,96.6,49,137.99999999999983
49,98.5,50,114.00000000000034
50,100.0,51,90.0
51,101.0,52,60.0
52,101.9,53,54.00000000000034
