time(60th of a second),avg_vel
1,
2,18.0
3,24.0
4,23.999999999999996
5,30.0
6,36.00000000000001
7,30.0
8,60.0
9,60.0
10,54.00000000000002
11,60.0
12,5.999999999999979
13,65.99999999999997
14,60.0
15,65.99999999999997
16,84.00000000000003
17,90.0
18,90.0
19,35.99999999999998
20,101.99999999999996
21,162.00000000000014
22,107.99999999999984
23,114.00000000000013
24,120.0
25,125.99999999999987
26,132.00000000000014
27,143.99999999999991
28,126.00000000000007
29,150.0
30,143.99999999999991
31,162.00000000000014
32,167.99999999999986
33,162.00000000000014
34,173.99999999999991
35,173.99999999999991
36,167.99999999999986
37,186.00000000000009
38,186.00000000000009
39,204.00000000000037
40,210.0
41,185.9999999999997
42,210.0
43,204.00000000000037
44,210.0
45,191.99999999999926
46,186.00000000000048
47,167.99999999999986
48,167.99999999999986
49,137.99999999999986
50,114.00000000000034
51,90.0
52,60.0
53,54.00000000000034
